ID	Product
1	Peaches
2	Vegetable_Oil
2	Frozen_Corn
3	Plums
4	Pancake_Mix
5	Cheese
6	Cauliflower
7	2pct_Milk
8	98pct_Fat_Free_Hamburger
8	Potato_Chips
8	Sesame_Oil
8	Ice_Cream_Sandwich
8	Frozen_Cheese_Pizza
8	Frozen_Sausage_Pizza
8	Deli_Salad
8	Brown_Sugar
8	Corn_Chips
8	Merlot_Wine
8	White_Bread
8	Diet_Cola
8	Peanut_Butter_Cookies
8	Pretzels
8	Lollipops
8	Baked_Beans
8	Salt
9	Avocado_Dip
10	Toilet_Paper
11	Apple_Sauce
11	White_Bread
12	Hot_Chocolate
12	Whole_Corn
13	Sugar_Cookies
13	Onions
13	Ice_Cream
13	Instant_Rice
13	Cantaloupe
13	Chocolate_Chip_Cookies
13	Corn_Oil
13	Corn_Chips
13	Paper_Plates
13	Cabbage
13	Sunglasses
13	French_Roast_Coffee
13	Hamburger_Buns
13	French_Fries
13	Heavy_Duty_Cleaner
13	Chicken_Noodle_Soup
13	Strawberry_Fruit_Roll
13	Sweet_Potatoes
14	98pct_Fat_Free_Hamburger
14	Onions
14	Strawberry_Yogurt
14	Salsa_Dip
14	Hot_Dogs
14	Popcorn_Salt
14	White_Bread
14	Plastic_Knives
14	Sunglasses
14	Hamburger_Buns
14	Domestic_Beer
14	Fingernail_Clippers
14	Regular_Coffee
14	Canned_Peaches
14	Sweet_Potatoes
14	Wood_Polish
15	Potato_Chips
16	Hair_Conditioner
16	Whole_Corn
16	Orange_flav_Fruit_Bars
17	Donuts
18	Aspirin
19	Waffles
20	Chocolate_Chip_Cookies
20	Cole_Slaw
20	Cream_Cheese
21	Broccoli
22	Corn_Oil
23	98pct_Fat_Free_Hamburger
23	Sugar_Cookies
23	Deli_Ham
23	Potato_Chips
23	Strawberry_Yogurt
23	Mint_Chocolate_Bar
23	Buttered_Popcorn
23	Waffles
23	Cream_Soda
23	Apple_Fruit_Roll
23	Ice_Cream_Sandwich
23	Soda_Crackers
23	Lettuce
23	Instant_Rice
23	Skin_Moisturizer
23	Cantaloupe
23	Dog_Food
